,text,link,cat_id
0,Đồ Chơi - Mẹ & Bé,https://tiki.vn/do-choi-me-be/c2549,2549
1,NGON,https://tiki.vn/tikingon/ngon/c44792,44792
2,Điện Thoại - Máy Tính Bảng,https://tiki.vn/dien-thoai-may-tinh-bang/c1789,1789
3,Làm Đẹp - Sức Khỏe,https://tiki.vn/lam-dep-suc-khoe/c1520,1520
4,Điện Gia Dụng,https://tiki.vn/dien-gia-dung/c1882,1882
5,Thời trang nữ,https://tiki.vn/thoi-trang-nu/c931,931
6,Thời trang nam,https://tiki.vn/thoi-trang-nam/c915,915
7,Giày - Dép nữ,https://tiki.vn/giay-dep-nu/c1703,1703
8,Túi thời trang nữ,https://tiki.vn/tui-vi-nu/c976,976
9,Giày - Dép nam,https://tiki.vn/giay-dep-nam/c1686,1686
10,Túi thời trang nam,https://tiki.vn/tui-thoi-trang-nam/c27616,27616
11,Balo và Vali,https://tiki.vn/balo-va-vali/c6000,6000
12,Phụ kiện thời trang,https://tiki.vn/phu-kien-thoi-trang/c27498,27498
13,Đồng hồ và Trang sức,https://tiki.vn/dong-ho-va-trang-suc/c8371,8371
14,Laptop - Máy Vi Tính - Linh kiện,https://tiki.vn/laptop-may-vi-tinh-linh-kien/c1846,1846
15,Nhà Cửa - Đời Sống,https://tiki.vn/nha-cua-doi-song/c1883,1883
16,Cross Border - Hàng Quốc Tế,https://tiki.vn/cross-border-hang-quoc-te/c17166,17166
17,Bách Hóa Online,https://tiki.vn/bach-hoa-online/c4384,4384
18,Thiết Bị Số - Phụ Kiện Số,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815,1815
19,Voucher - Dịch vụ,https://tiki.vn/voucher-dich-vu/c11312,11312
20,Ô Tô - Xe Máy - Xe Đạp,https://tiki.vn/o-to-xe-may-xe-dap/c8594,8594
21,Nhà Sách Tiki,https://tiki.vn/nha-sach-tiki/c8322,8322
22,Điện Tử - Điện Lạnh,https://tiki.vn/dien-tu-dien-lanh/c4221,4221
23,Thể Thao - Dã Ngoại,https://tiki.vn/the-thao-da-ngoai/c1975,1975
24,Máy Ảnh - Máy Quay Phim,https://tiki.vn/may-anh/c1801,1801
25,Sản phẩm Tài chính - Bảo hiểm,https://tiki.vn/san-pham-tai-chinh-bao-hiem/c54042,54042
